Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      199     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_emplace_unique<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.00     0.00      185     0.00     0.00  void std::vector<docxtotxt::cell, std::allocator<docxtotxt::cell> >::_M_realloc_insert<docxtotxt::cell const&>(__gnu_cxx::__normal_iterator<docxtotxt::cell*, std::vector<docxtotxt::cell, std::allocator<docxtotxt::cell> > >, docxtotxt::cell const&)
  0.00      0.00     0.00      142     0.00     0.00  void std::vector<std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >, std::allocator<std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > > >::emplace_back<std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >&>(std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >&)
  0.00      0.00     0.00      108     0.00     0.00  void std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> >::_M_realloc_insert<docxtotxt::sheetCell const&>(__gnu_cxx::__normal_iterator<docxtotxt::sheetCell*, std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> > >, docxtotxt::sheetCell const&)
  0.00      0.00     0.00      104     0.00     0.00  std::vector<std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> >, std::allocator<std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> > > >::operator=(std::vector<std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> >, std::allocator<std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> > > > const&)
  0.00      0.00     0.00       96     0.00     0.00  docxtotxt::DocumentLoader::extractTextBody(tinyxml2::XMLElement*)
  0.00      0.00     0.00       93     0.00     0.00  docxtotxt::DocumentLoader::addStyle(tinyxml2::XMLElement*)
  0.00      0.00     0.00       83     0.00     0.00  docxtotxt::BufferWriter::getMetadata()
  0.00      0.00     0.00       80     0.00     0.00  void std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> >::_M_realloc_insert<docxtotxt::textBody&>(__gnu_cxx::__normal_iterator<docxtotxt::textBody*, std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> > >, docxtotxt::textBody&)
  0.00      0.00     0.00       78     0.00     0.00  docxtotxt::XlsParser::getColumnWidth(std::vector<docxtotxt::columnSettings, std::allocator<docxtotxt::columnSettings> > const&, unsigned long)
